,Action,Adventure,Animation,Childrens,Comedy,Crime,Documentary,Drama,Fantasy,FilmNoir,Horror,Musical,Mystery,Romance,Scifi,Thriller,War,Western
0,0.06666666666666676,0.05333333333333343,0.045000000000000095,0.045000000000000095,0.12000000000000009,0.03333333333333343,1e-16,0.4333333333333334,0.0500000000000001,1e-16,1e-16,0.045000000000000095,1e-16,0.058333333333333424,0.0500000000000001,1e-16,1e-16,1e-16
1,0.17592592592592604,0.08333333333333343,1e-16,1e-16,0.22222222222222232,1e-16,1e-16,0.22222222222222232,1e-16,1e-16,1e-16,1e-16,1e-16,0.138888888888889,0.09259259259259268,0.06481481481481491,1e-16,1e-16
2,0.16904761904761917,0.19285714285714298,0.023809523809523912,0.023809523809523912,0.3333333333333334,1e-16,1e-16,0.01428571428571439,0.023809523809523912,1e-16,1e-16,1e-16,1e-16,1e-16,0.01428571428571439,0.035714285714285816,0.01428571428571439,0.15476190476190488
3,1e-16,0.016666666666666767,0.03333333333333343,0.016666666666666767,0.2666666666666668,0.02222222222222232,1e-16,0.3722222222222223,1e-16,1e-16,1e-16,0.016666666666666767,1e-16,0.06666666666666676,0.1000000000000001,0.08888888888888898,1e-16,1e-16
4,0.11904761904761914,0.017857142857142957,0.02380952380952391,0.08333333333333343,0.19047619047619058,1e-16,1e-16,0.16071428571428584,1e-16,1e-16,1e-16,0.09523809523809533,1e-16,0.22023809523809537,0.017857142857142957,1e-16,0.047619047619047714,0.02380952380952391
5,0.27777777777777785,0.1111111111111112,1e-16,1e-16,0.16666666666666677,1e-16,1e-16,1e-16,1e-16,1e-16,1e-16,1e-16,1e-16,1e-16,0.27777777777777785,0.16666666666666677,1e-16,1e-16
6,0.04444444444444454,1e-16,0.022222222222222324,0.022222222222222324,0.07777777777777788,1e-16,1e-16,0.5444444444444446,1e-16,1e-16,0.03333333333333344,1e-16,1e-16,0.20000000000000012,0.03333333333333344,1e-16,0.022222222222222324,1e-16
7,0.07380952380952391,0.038095238095238196,0.023809523809523912,0.023809523809523912,0.13095238095238107,0.0892857142857144,1e-16,0.26190476190476203,1e-16,0.01785714285714296,1e-16,1e-16,0.01785714285714296,0.08571428571428581,0.01428571428571439,0.12500000000000014,0.07380952380952391,0.023809523809523912
8,0.06696428571428581,0.06250000000000011,0.028869047619047718,0.045238095238095334,0.2639880952380953,0.005952380952381052,1e-16,0.1562500000000001,0.0550595238095239,1e-16,0.017857142857142957,0.0675595238095239,0.005952380952381052,0.07053571428571438,0.07589285714285723,0.0550595238095239,0.022321428571428673,1e-16
9,1e-16,1e-16,1e-16,1e-16,0.4583333333333334,1e-16,1e-16,0.3750000000000001,1e-16,1e-16,1e-16,1e-16,0.04166666666666676,0.04166666666666676,1e-16,0.08333333333333343,1e-16,1e-16
10,0.10416666666666677,0.1875000000000001,1e-16,1e-16,0.04166666666666677,1e-16,1e-16,0.2916666666666668,0.04166666666666677,1e-16,0.12500000000000014,1e-16,1e-16,0.04166666666666677,0.04166666666666677,0.06250000000000011,0.06250000000000011,1e-16
11,0.1000000000000001,0.036666666666666764,0.03333333333333343,0.013333333333333433,0.14333333333333342,0.05666666666666676,1e-16,0.29666666666666675,1e-16,1e-16,0.05333333333333343,0.03333333333333343,0.03333333333333343,0.03333333333333343,0.03666666666666676,0.10333333333333343,0.026666666666666766,1e-16
12,0.1074074074074075,0.019444444444444545,0.03472222222222232,0.006944444444444544,0.08333333333333343,0.06712962962962973,1e-16,0.2615740740740742,1e-16,0.03009259259259269,0.03703703703703713,1e-16,0.04629629629629639,0.03333333333333343,0.1722222222222223,0.07870370370370379,0.02175925925925936,1e-16
