,userID,gender,age,occupation,zip_code,x0_actual,x1_actual,x0_pred,x1_pred,dist,actual_dev,actual_entropy,bias,bias_avg,bias_effect,bias_effect_avg,bias_ratio_in_error,bias_variance_ratio,dev,error,error_avg,inflated_diversity,inflated_diversity_avg,pred_dev,pred_dev_avg,pred_entropy,pred_entropy_avg,stereotyping,stereotyping_avg,var_effect,var_effect_avg,variance_ratio_in_error
0,1,F,1,10,48067,2.366289,2.0010228,7.5060754,3.5808904,5.377117,0.3275052873791776,1.9510257079551208,2.28783539007878,2.28783539007878,2.839633391632567,2.211206487633776,0.4806060266363409,0.6765307382539221,0.1353879775891306,4.760313569288451,2.5843786552188845,0.2209075667169235,0.228646256417392,0.1576442675753758,0.1695933535329415,2.1719332746720443,2.2476844700443035,0.1698610198038017,0.1564879404013852,1.547790965453447,0.1907558729853072,0.3251447500095678
1,2,M,56,16,70072,5.7381473,4.804772,10.104972,2.6297476,4.878513,0.3072240823590106,1.8531134433580507,2.28783539007878,2.28783539007878,0.2282405104105629,1.931040541163945,3.896716045874904,0.0236968259713587,0.2581541032086855,0.5871188362571867,2.308654622477165,0.4986272031787622,0.2392055772591242,0.1346610988891881,0.1694896772081073,2.351740646536813,2.23848147694674,0.1725629834698225,0.1360314814027345,0.0542144370898125,-0.0731742662154678,0.0923398019988988
2,3,M,25,15,55117,4.9591618,6.8834543,10.188131,3.6260848,6.1605663,0.4624686908768223,1.840931518993204,2.28783539007878,2.28783539007878,5.601889638990221,2.3861108621489806,0.299472622459063,0.5073145407972822,0.2633358745424235,7.6395477198972355,2.7596072050810765,0.2992570811966581,0.6657281420022164,0.2075599210441305,0.1774590405191478,2.140188600189862,2.2387610534973117,0.2549087698326917,0.2833924405765489,1.1606521603375874,-0.4138090835667257,0.1519268159441774
3,5,M,25,20,55455,2.4493055,3.4755409,7.294371,3.243734,4.850608,0.3068599677430352,1.7489441293565862,2.28783539007878,2.28783539007878,1.5091083072307594,1.9953180397017631,0.90763288272986,0.3134035909164377,0.0975998624771586,2.520661639315807,2.384494848652973,0.4193691798548666,0.2303038299070907,0.145753606915717,0.1711610333499087,2.168313309211453,2.235386406646373,0.1611063608273182,0.1341576947677455,0.7170158266763988,-0.0012939164963084,0.2844554046813761
4,6,F,50,9,55117,3.627411,5.320931,7.2116046,4.1246386,3.778566,0.3632762027402141,2.093990553001613,2.28783539007878,2.28783539007878,4.580914729844199,2.13325405594218,1.0958793340527504,-1.3130216608659824,0.1878973731376887,2.087670894949694,2.5565421427261468,0.2069213166306398,0.3234726772499721,0.1655611732599169,0.169722236997854,2.300911869632253,2.2476907998210147,0.1977150294802972,0.1918765432734402,-3.0039774236692125,-0.2452926316268878,-1.438913303306649
5,7,M,35,1,06810,11.119174,6.4451146,11.55093,3.3735569,3.1017544,0.503919195057135,1.5530191347034594,2.28783539007878,2.28783539007878,-0.4995120666899744,1.8772469556605045,4.589607516025488,0.0402335994151081,0.2691173844493799,0.4984817072244996,2.8893665888737523,0.6291485911624157,0.801173345069041,0.1961850255694546,0.1940461652009569,2.182167725865875,2.1942789457826772,0.3077341694876803,0.3060375080745272,0.0920478526121372,0.217413280519193,0.1846564302723389
6,8,M,25,12,11413,1.0647949,1.3195987,9.451056,3.1094427,8.575134,0.3935894054235092,1.4704430975215574,2.28783539007878,2.28783539007878,1.6209059614117964,2.327934814081623,0.973903979232448,0.0738044019988129,0.2268596059984287,2.3491385586922706,2.6437075346347076,0.7711550660883604,0.4461215814469417,0.1871120490072882,0.1899927540412866,2.241598163609918,2.233360242903459,0.2064773564162209,0.2011046101459369,0.1688523228364853,0.0061019216007802,0.0718784007915151
7,9,M,25,17,61614,4.8871274,2.1149392,6.833531,4.1062875,2.7845924,0.2248081787549519,2.2839723190224355,2.28783539007878,2.28783539007878,2.1560202020112085,2.0752520494302407,0.9347629745490016,0.0491282608139763,0.2620580534731362,2.447503219928667,2.2769210933169326,-0.0179014742733607,0.0849162238606916,0.1586354378595748,0.1755973651201591,2.2660708447490747,2.2616740257489343,0.066172740895377,0.046849856466889,0.1123973737432355,-0.0595517248774608,0.0459232792128916
8,10,F,35,1,95370,5.393018,6.001553,8.874921,3.581234,4.240471,0.2210110099975913,2.340159377034132,2.28783539007878,2.28783539007878,3.0903140833056897,2.4190835803922854,0.3866941586221908,1.146595822690529,0.307759546720797,5.9163950089922315,2.5369259921450804,-0.1197845235642511,0.056413504536394,0.1983677970467516,0.1791213137200546,2.220374853469881,2.269227834782177,0.0226432129508397,0.0394192377218931,2.6232225012678865,-0.1272747573875549,0.4433819069350329
9,11,F,25,1,04093,2.1218047,5.1212177,7.7888308,4.9110174,5.670923,0.4179930499149151,1.1972970154343296,2.28783539007878,2.28783539007878,0.7811518440928632,2.2344071996101316,2.7748109783994632,-0.2291449942253389,0.2022398218724452,0.8245013472587689,2.364223718873166,1.131624280453983,0.4672024411335812,0.1140399127723483,0.1833230287708199,2.3289212958883123,2.2315138939428265,0.3039531371425668,0.2329433256074077,-0.5242460272481281,-0.7751566199943946,-0.635834045621752
