userID,gender,age,occupation,zip_code,actual_dev,actual_entropy,bias,bias_avg,bias_effect,bias_effect_avg,bias_ratio_in_error,bias_variance_ratio,dev,error,error_avg,filter_bubble,inflated_diversity,inflated_diversity_avg,pred_dev,pred_dev_avg,pred_entropy,pred_entropy_avg,stereotyping,stereotyping_avg,var_effect,var_effect_avg,variance_ratio_in_error
1,F,1,10,48067,0.3275052873791776,1.9510257079551208,3.040699640569553,3.040699640569553,3.281315755679236,3.104438867560519,0.6176536409763888,0.41726583748454643,0.5216877984155407,4.922985049942887,2.96642185311071,0.16678900874994085,0.16678900874994085,0.11837350392610016,0.22268529188776903,0.26535962128493046,2.1178147167050616,2.137411717553011,0.10481999549140858,0.06072167264939625,1.2687800820612138,-0.8203683957191406,0.2577257637773922
2,M,56,16,70072,0.30722408235901066,1.8531134433580507,3.040699640569553,3.040699640569553,0.72582915292854,2.4494281732581085,7.528348233620883,-0.2060687156834872,0.6880097499141046,0.40389997197394234,2.745579997270584,0.5373904749386615,0.5373904749386615,0.07128648025122673,0.18454488364346477,0.28933558344920013,2.3905039182967123,2.0705623799388424,0.12267919871554589,0.016185575161641694,-0.6265930697114089,-0.13275683338975744,-1.5513570517203048
3,M,25,15,55117,0.4624686908768223,1.8409315189932038,3.040699640569553,3.040699640569553,5.638603502780053,2.8846211713253886,0.49091411525336126,-0.10578323042642851,0.7722091877098581,6.193954392613553,3.0257734745156624,0.3976778607066751,0.3976778607066751,0.36998617358933567,0.1991139988030054,0.32515698649854613,2.238609379699879,1.9430190850844304,0.2633546920738169,0.13569449459715055,-0.3216550307359274,-0.46586173286648674,-0.0519304809734326
5,M,25,20,55455,0.30685996774303526,1.7489441293565862,3.040699640569553,3.040699640569553,1.4548143841455277,2.502890559593816,0.4958320649276665,1.441499586647541,2.3590672565370205,6.132519164554514,2.8122327263564766,-0.3791275417789286,-0.3791275417789286,0.06698414710614681,0.43162562756653683,0.28876610108198003,1.3698165875776576,2.0720667238454293,-0.12476565982350157,0.016552627035674203,4.383167275000337,-0.09022748775943945,0.714741716639828
6,F,50,9,55117,0.36327620274021416,2.093990553001613,3.040699640569553,3.040699640569553,4.459278761241899,2.978555199723329,3.1458460971681976,-1.3166168075834639,5.927506251843733,0.966576096429735,3.1520933907811086,-0.07001138193414613,-0.07001138193414613,0.08932254910887641,0.46075110719192636,0.3117850662434831,2.023979171067467,2.013540671679919,-0.0974749044517122,0.04981371402781109,-4.003436253586871,-0.30111024234597294,-4.1418738456024915
7,M,35,1,06810,0.503919195057135,1.5530191347034594,3.040699640569553,3.040699640569553,1.6332445233587944,2.579368156649786,9.222209488584712,-0.7266339434086905,1.2657528034545436,0.32971487411268885,2.9463433948678106,0.5076075704011935,0.5076075704011935,0.5374332621758345,0.3077890765693972,0.322399038983823,2.060626705104653,1.930538862889471,0.19613011848773781,0.17768463429166106,-2.209475570548442,-0.7911409327908239,-6.701170447631353
8,M,25,12,11413,0.39358940542350923,1.4704430975215574,3.040699640569553,3.040699640569553,1.3130730381415336,3.17446109613725,1.0354986065128016,0.34992147734388435,0.3181317401543524,2.936459422972639,3.0616048077036377,0.3575399500816814,0.3575399500816814,0.3143137246296844,0.325404038634751,0.2865885239226768,1.8279830476032388,2.101552386086201,0.06818536678875825,0.10450884026454677,1.0640061103871161,-0.31726508303311496,0.36234320217849314
9,M,25,17,61614,0.2248081787549519,2.2839723190224355,3.040699640569553,3.040699640569553,2.4181276812295103,2.7891311301805657,1.7957442739024851,-0.2972777462411734,0.6691385404500746,1.693280989258871,2.5681351573666706,-0.06230815857961147,-0.06230815857961147,-0.012045689050885953,0.1975384183227554,0.24081482821038783,2.221664160442824,2.1647121128373565,0.027269760432196505,-0.018367606623339642,-0.9039323361448628,-0.5581028127247643,-0.5338348105712232
10,F,35,1,95370,0.22101100999759138,2.3401593770341322,3.040699640569553,3.040699640569553,4.072468497252062,3.0742716529736542,6.0464688051150866,-1.240648161761826,0.46499261070621284,0.5028885021282562,2.8208165466107293,-0.17425311155551437,-0.17425311155551437,-0.058198610376698795,0.22414087529604423,0.2543295011301868,2.165906265478618,2.154615719869084,-0.003129865298452855,-0.03578894968823905,-3.772438419542461,-0.49907505041314676,-7.501540408216257
11,F,25,1,04093,0.41799304991491515,1.1972970154343296,3.040699640569553,3.040699640569553,0.10841891933209102,3.0375555995895973,7.288140364656625,-0.08511279548021373,0.39492729833654283,0.41721200312156903,2.4450987500152452,0.8333522696434463,0.8333522696434463,0.2259735493653861,0.2891888799882184,0.3131533388300499,2.030649285077776,1.9902850021746317,0.12880416992669674,0.10311301554817773,-0.25880244662455576,-1.2349042964789556,-0.6203140002881096
13,M,45,1,93304,0.35540213158127404,2.045025565810698,3.040699640569553,3.040699640569553,3.542724433981814,3.546273115484597,6.002740476030655,-1.1598468633951378,0.8848185751902616,0.5065519078679597,3.112733266954609,0.12182084890026657,0.12182084890026657,0.010575090921052372,0.2441299662379322,0.3169599890029997,2.1668464147109647,2.0143783754165083,0.11127216534334183,0.03728041314705139,-3.5267459406413186,-0.3713646143878087,-6.962259712899192
15,M,25,7,22903,0.17224036136854887,2.2728703994098023,3.040699640569553,3.040699640569553,3.3827304206737274,3.255451348650815,0.7616084378382285,0.16608208579890807,0.4115233940044834,3.9924710513979638,2.779704864991444,-0.1544212392840385,-0.1544212392840385,-0.14912518560030774,0.19332367770932254,0.23358146083724887,2.118449160125764,2.164291239118745,-0.021083316340773678,-0.06564506817839573,0.5050057385937814,-0.11854286263443002,0.126489517918221
17,M,50,1,95350,0.24841557623814153,2.276044895359327,3.040699640569553,3.040699640569553,3.5268609074053745,2.982258831443712,1.313566030495901,-0.477898563573521,1.0592020854997775,2.3148433881330046,2.6583374037627503,-0.07861979063305702,-0.07861979063305702,0.01770307547071982,0.24525332485059398,0.2430031714207198,2.19742510472627,2.1825552180782157,0.0031622513875475544,0.0036667258568048723,-1.453145990486711,-0.3346489092331793,-0.627751319132963
18,F,18,3,95825,0.30197105435685195,2.2327874469102498,3.040699640569553,3.040699640569553,4.2500017225051385,3.115391157829203,2.4949459784890204,-1.1145132746036255,0.7705375093830676,1.2187436789357058,2.9833911741879295,0.05741556313489582,0.05741556313489582,-0.006882917212889925,0.21552224410222307,0.2801310421428984,2.2902030100451456,2.0646534387355526,0.08644881025462889,0.020660534729602328,-3.3889001134972396,0.01465202710049974,-2.780650412444945
19,M,1,10,48073,0.32477139571350305,2.1824118741308185,3.040699640569553,3.040699640569553,5.4587173085908205,3.1177206855466557,0.9762255165832887,-0.9005991463538101,1.650491320716553,3.114751242327448,3.043957603926719,-0.020243106057812543,-0.020243106057812543,0.07728610096540005,0.3055210246718586,0.2805807536342363,2.162168768073006,2.085470202380291,0.019250371041644454,0.04223986379245323,-2.7384515006152768,-0.3130581871322897,-0.8791878668837171
22,M,18,15,53706,0.26404814496534573,1.9053762362208324,3.040699640569553,3.040699640569553,2.250893261363386,3.054204939162013,1.1485622954678891,0.04868059666027498,1.1265608912103875,2.647396360273924,3.19518827642767,0.07794061947719655,0.07794061947719655,-0.014494205192649306,0.32019761416268866,0.275996282270644,1.983316855698029,2.0953598267395925,-0.05614946919734293,-0.013733632309259568,0.1480230727676095,-0.0024264774335320993,0.055912697844871885
23,M,35,0,90049,0.2532322395895875,2.41673251759846,3.040699640569553,3.040699640569553,4.513076719939692,3.015648043437433,1.5064298403463514,-0.9048196158105636,0.7140701130405249,2.018480754384452,2.7414656728606195,-0.20546267288618658,-0.20546267288618658,0.009274089787448973,0.22349796242498804,0.24954287058672267,2.2112698447122736,2.1409487878753977,0.029734277164599476,0.0017933453940520623,-2.751284680575462,-0.5716002152466253,-1.3630472693877542
