,Unnamed: 0,userID,gender,age,occupation,zip_code,x0_actual,x1_actual,x0_pred,x1_pred,dist,actual_dev,actual_entropy,bias,bias_avg,bias_effect,bias_effect_avg,bias_ratio_in_error,bias_variance_ratio,dev,error,error_avg,filter_bubble,inflated_diversity,inflated_diversity_avg,pred_dev,pred_dev_avg,pred_entropy,pred_entropy_avg,stereotyping,stereotyping_avg,var_effect,var_effect_avg,variance_ratio_in_error
0,0,1,F,1,10,48067,0.94831777,8.646825,3.3126662,5.490602,3.943588,0.3275052873791776,1.9510257079551208,3.040699640569553,3.040699640569553,3.281315755679236,3.104438867560519,0.6176536409763888,0.4172658374845464,0.5216877984155407,4.922985049942887,2.96642185311071,0.1667890087499408,0.1667890087499408,0.1183735039261001,0.222685291887769,0.2653596212849304,2.1178147167050616,2.137411717553011,0.1048199954914085,0.0607216726493962,1.2687800820612138,-0.8203683957191406,0.2577257637773922
1,1,2,M,56,16,70072,4.5524936,5.8151884,5.185791,6.9906154,1.3351756,0.3072240823590106,1.8531134433580507,3.040699640569553,3.040699640569553,0.72582915292854,2.4494281732581085,7.528348233620883,-0.2060687156834872,0.6880097499141046,0.4038999719739423,2.745579997270584,0.5373904749386615,0.5373904749386615,0.0712864802512267,0.1845448836434647,0.2893355834492001,2.3905039182967123,2.0705623799388424,0.1226791987155458,0.0161855751616416,-0.6265930697114089,-0.1327568333897574,-1.5513570517203048
2,2,3,M,25,15,55117,3.8704743,3.4782128,7.23054,7.7638197,5.445775,0.4624686908768223,1.840931518993204,3.040699640569553,3.040699640569553,5.638603502780053,2.8846211713253886,0.4909141152533612,-0.1057832304264285,0.7722091877098581,6.193954392613553,3.0257734745156624,0.3976778607066751,0.3976778607066751,0.3699861735893356,0.1991139988030054,0.3251569864985461,2.238609379699879,1.9430190850844304,0.2633546920738169,0.1356944945971505,-0.3216550307359274,-0.4658617328664867,-0.0519304809734326
3,3,5,M,25,20,55455,0.73179287,6.8451166,-0.5282553,7.4700527,1.4065086,0.3068599677430352,1.7489441293565862,3.040699640569553,3.040699640569553,1.4548143841455277,2.502890559593816,0.4958320649276665,1.441499586647541,2.3590672565370205,6.132519164554514,2.8122327263564766,-0.3791275417789286,-0.3791275417789286,0.0669841471061468,0.4316256275665368,0.28876610108198,1.3698165875776576,2.0720667238454293,-0.1247656598235015,0.0165526270356742,4.383167275000337,-0.0902274877594394,0.714741716639828
4,4,6,F,50,9,55117,3.3211455,5.0713816,0.35663667,3.2307868,3.489427,0.3632762027402141,2.093990553001613,3.040699640569553,3.040699640569553,4.459278761241899,2.978555199723329,3.1458460971681976,-1.316616807583464,5.927506251843733,0.966576096429735,3.1520933907811086,-0.0700113819341461,-0.0700113819341461,0.0893225491088764,0.4607511071919263,0.3117850662434831,2.023979171067467,2.013540671679919,-0.0974749044517122,0.049813714027811,-4.003436253586871,-0.3011102423459729,-4.1418738456024915
5,5,7,M,35,1,06810,9.942591,5.7417073,9.4741335,6.717755,1.0826453,0.503919195057135,1.5530191347034594,3.040699640569553,3.040699640569553,1.6332445233587944,2.579368156649786,9.222209488584712,-0.7266339434086905,1.2657528034545436,0.3297148741126888,2.9463433948678106,0.5076075704011935,0.5076075704011935,0.5374332621758345,0.3077890765693972,0.322399038983823,2.060626705104653,1.930538862889471,0.1961301184877378,0.177684634291661,-2.209475570548442,-0.7911409327908239,-6.701170447631353
6,6,8,M,25,12,11413,-0.6000172,9.568347,1.6188034,8.061251,2.6822572,0.3935894054235092,1.4704430975215574,3.040699640569553,3.040699640569553,1.3130730381415336,3.17446109613725,1.0354986065128016,0.3499214773438843,0.3181317401543524,2.936459422972639,3.0616048077036377,0.3575399500816814,0.3575399500816814,0.3143137246296844,0.325404038634751,0.2865885239226768,1.8279830476032388,2.101552386086201,0.0681853667887582,0.1045088402645467,1.064006110387116,-0.3172650830331149,0.3623432021784931
7,7,9,M,25,17,61614,2.9800985,8.010488,4.119496,7.340709,1.3216767,0.2248081787549519,2.2839723190224355,3.040699640569553,3.040699640569553,2.4181276812295103,2.7891311301805657,1.7957442739024851,-0.2972777462411734,0.6691385404500746,1.693280989258871,2.56813515736667,-0.0623081585796114,-0.0623081585796114,-0.0120456890508859,0.1975384183227554,0.2408148282103878,2.221664160442824,2.1647121128373565,0.0272697604321965,-0.0183676066233396,-0.9039323361448628,-0.5581028127247643,-0.5338348105712232
8,8,10,F,35,1,95370,3.9129062,4.4020534,4.2573147,4.82293,0.54383296,0.2210110099975913,2.340159377034132,3.040699640569553,3.040699640569553,4.072468497252062,3.0742716529736542,6.0464688051150866,-1.240648161761826,0.4649926107062128,0.5028885021282562,2.8208165466107293,-0.1742531115555143,-0.1742531115555143,-0.0581986103766987,0.2241408752960442,0.2543295011301868,2.165906265478618,2.154615719869084,-0.0031298652984528,-0.035788949688239,-3.772438419542461,-0.4990750504131467,-7.501540408216257
9,9,11,F,25,1,04093,0.20054038,5.0969443,2.1628728,4.391576,2.085256,0.4179930499149151,1.1972970154343296,3.040699640569553,3.040699640569553,0.108418919332091,3.0375555995895973,7.288140364656625,-0.0851127954802137,0.3949272983365428,0.417212003121569,2.4450987500152452,0.8333522696434463,0.8333522696434463,0.2259735493653861,0.2891888799882184,0.3131533388300499,2.030649285077776,1.9902850021746317,0.1288041699266967,0.1031130155481777,-0.2588024466245557,-1.2349042964789556,-0.6203140002881096
10,10,13,M,45,1,93304,3.7824557,8.347359,8.008368,7.046615,4.4215684,0.355402131581274,2.045025565810698,3.040699640569553,3.040699640569553,3.542724433981814,3.546273115484597,6.002740476030655,-1.1598468633951378,0.8848185751902616,0.5065519078679597,3.112733266954609,0.1218208489002665,0.1218208489002665,0.0105750909210523,0.2441299662379322,0.3169599890029997,2.1668464147109647,2.0143783754165083,0.1112721653433418,0.0372804131470513,-3.526745940641318,-0.3713646143878087,-6.962259712899192
11,11,15,M,25,7,22903,2.8573658,7.7887177,3.5856638,7.107715,0.997087,0.1722403613685488,2.2728703994098023,3.040699640569553,3.040699640569553,3.382730420673727,3.255451348650815,0.7616084378382285,0.166082085798908,0.4115233940044834,3.992471051397964,2.779704864991444,-0.1544212392840385,-0.1544212392840385,-0.1491251856003077,0.1933236777093225,0.2335814608372488,2.118449160125764,2.164291239118745,-0.0210833163407736,-0.0656450681783957,0.5050057385937814,-0.11854286263443,0.126489517918221
12,12,17,M,50,1,95350,5.406245,8.519114,7.912436,7.073564,2.8932,0.2484155762381415,2.276044895359327,3.040699640569553,3.040699640569553,3.5268609074053745,2.982258831443712,1.313566030495901,-0.477898563573521,1.0592020854997777,2.3148433881330046,2.6583374037627503,-0.078619790633057,-0.078619790633057,0.0177030754707198,0.2452533248505939,0.2430031714207198,2.19742510472627,2.1825552180782157,0.0031622513875475,0.0036667258568048,-1.453145990486711,-0.3346489092331793,-0.627751319132963
13,13,18,F,18,3,95825,3.0636241,8.380482,5.940899,5.6657977,3.9557831,0.3019710543568519,2.2327874469102498,3.040699640569553,3.040699640569553,4.2500017225051385,3.115391157829203,2.4949459784890204,-1.1145132746036257,0.7705375093830676,1.2187436789357058,2.9833911741879295,0.0574155631348958,0.0574155631348958,-0.0068829172128899,0.215522244102223,0.2801310421428984,2.2902030100451456,2.0646534387355526,0.0864488102546288,0.0206605347296023,-3.3889001134972396,0.0146520271004997,-2.780650412444945
14,14,19,M,1,10,48073,4.6672225,4.1764026,9.216439,5.8195524,4.83687,0.324771395713503,2.1824118741308185,3.040699640569553,3.040699640569553,5.4587173085908205,3.1177206855466557,0.9762255165832888,-0.9005991463538101,1.650491320716553,3.114751242327448,3.043957603926719,-0.0202431060578125,-0.0202431060578125,0.0772861009654,0.3055210246718586,0.2805807536342363,2.162168768073006,2.085470202380291,0.0192503710416444,0.0422398637924532,-2.7384515006152768,-0.3130581871322897,-0.8791878668837171
15,15,22,M,18,15,53706,2.4592268,3.381173,9.4638815,6.043952,7.493703,0.2640481449653457,1.9053762362208324,3.040699640569553,3.040699640569553,2.250893261363386,3.054204939162013,1.1485622954678891,0.0486805966602749,1.1265608912103875,2.647396360273924,3.19518827642767,0.0779406194771965,0.0779406194771965,-0.0144942051926493,0.3201976141626886,0.275996282270644,1.983316855698029,2.0953598267395925,-0.0561494691973429,-0.0137336323092595,0.1480230727676095,-0.002426477433532,0.0559126978448718
16,16,23,M,35,0,90049,6.037434,5.3970976,6.8336806,7.3062434,2.0685372,0.2532322395895875,2.41673251759846,3.040699640569553,3.040699640569553,4.513076719939692,3.015648043437433,1.5064298403463514,-0.9048196158105636,0.7140701130405249,2.018480754384452,2.7414656728606195,-0.2054626728861865,-0.2054626728861865,0.0092740897874489,0.223497962424988,0.2495428705867226,2.2112698447122736,2.1409487878753977,0.0297342771645994,0.001793345394052,-2.751284680575462,-0.5716002152466253,-1.3630472693877542
17,17,24,F,25,7,10023,1.6269969,2.96064,2.4519675,4.646036,1.8764693,0.3082367063518754,1.8030199685565929,3.040699640569553,3.040699640569553,1.9637772075261857,2.4748005110774773,1.8747565280958365,-0.2228814425135649,0.4596489023268857,1.6219170836321604,2.703164004264282,0.395274539612549,0.395274539612549,0.028458082061417,0.2351777491989879,0.3039706262658862,2.1982945081691416,2.012781080458448,0.0730589571528874,0.0025470954303652,-0.6777155221406204,0.2935032269115432,-0.4178484393437227
